"query_id","arm","runtime_ms","node_type","startup_cost","total_cost","plan_rows","plan_width","actual_rows","actual_total_time","oracle_arm","oracle_runtime","regret_ms"
"job_6f","default","5210.382","Aggregate","15195.42","15195.43","1","96","1","5210.322","no_hashjoin","4493.201666666667","717.1803333333328"
"job_6f","default","5227.179","Aggregate","15195.42","15195.43","1","96","1","5227.122","no_hashjoin","4493.201666666667","733.9773333333333"
"job_6f","no_nestloop","7197.248","Aggregate","651387.9","651387.91","1","96","1","7190.495","no_hashjoin","4493.201666666667","2704.0463333333328"
"job_29b","no_nestloop","7586.903","Aggregate","1069727.89","1069727.9","1","96","1","7573.746","no_hashjoin","12.823666666666666","7574.079333333334"
"job_29b","no_nestloop","6130.966","Aggregate","1069727.89","1069727.9","1","96","1","6118.45","no_hashjoin","12.823666666666666","6118.142333333334"
"job_29b","no_nestloop","7165.779","Aggregate","1069727.89","1069727.9","1","96","1","7152.254","no_hashjoin","12.823666666666666","7152.955333333334"
"job_29b","default","58.453","Aggregate","5260.13","5260.14","1","96","1","58.318","no_hashjoin","12.823666666666666","45.629333333333335"
"job_29b","default","60.579","Aggregate","5260.13","5260.14","1","96","1","60.45","no_hashjoin","12.823666666666666","47.75533333333333"
"job_29b","default","61.426","Aggregate","5260.13","5260.14","1","96","1","61.299","no_hashjoin","12.823666666666666","48.602333333333334"
"job_29b","no_hashjoin","13.08","Aggregate","3957.3","3957.31","1","96","1","12.944","no_hashjoin","12.823666666666666","0.25633333333333397"
"job_29b","no_hashjoin","12.619","Aggregate","3957.3","3957.31","1","96","1","12.485","no_hashjoin","12.823666666666666","-0.20466666666666633"
"job_29b","no_hashjoin","12.772","Aggregate","3957.3","3957.31","1","96","1","12.643","no_hashjoin","12.823666666666666","-0.05166666666666586"
"job_29b","no_mergejoin","14.473","Aggregate","4003.54","4003.55","1","96","1","14.332","no_hashjoin","12.823666666666666","1.6493333333333347"
"job_29b","no_mergejoin","13.133","Aggregate","4003.54","4003.55","1","96","1","12.999","no_hashjoin","12.823666666666666","0.309333333333333"
"job_29b","no_mergejoin","13.465","Aggregate","4003.54","4003.55","1","96","1","13.344","no_hashjoin","12.823666666666666","0.6413333333333338"
"job_17b","no_nestloop","5430.475","Aggregate","663359.83","663359.84","1","64","1","5425.39","no_nestloop","5447.6466666666665","-17.17166666666617"
"job_17b","no_nestloop","5306.074","Aggregate","663359.83","663359.84","1","64","1","5301.252","no_nestloop","5447.6466666666665","-141.57266666666692"
"job_17b","no_nestloop","5606.391","Aggregate","663359.83","663359.84","1","64","1","5601.605","no_nestloop","5447.6466666666665","158.7443333333331"
"job_17b","no_hashjoin","6087.729","Aggregate","4406.25","4406.26","1","64","1","6087.661","no_nestloop","5447.6466666666665","640.0823333333337"
"job_17b","no_hashjoin","5763.252","Aggregate","4406.25","4406.26","1","64","1","5763.185","no_nestloop","5447.6466666666665","315.6053333333339"
"job_17b","no_hashjoin","5791.39","Aggregate","4406.25","4406.26","1","64","1","5791.326","no_nestloop","5447.6466666666665","343.7433333333338"
"job_17b","no_mergejoin","5854.592","Aggregate","4406.25","4406.26","1","64","1","5854.515","no_nestloop","5447.6466666666665","406.9453333333331"
"job_17b","no_mergejoin","5736.63","Aggregate","4406.25","4406.26","1","64","1","5736.551","no_nestloop","5447.6466666666665","288.9833333333336"
"job_17b","no_mergejoin","6018.783","Aggregate","4406.25","4406.26","1","64","1","6018.725","no_nestloop","5447.6466666666665","571.1363333333338"
"job_17b","default","6000.604","Aggregate","4406.25","4406.26","1","64","1","6000.532","no_nestloop","5447.6466666666665","552.9573333333337"
"job_17b","default","6972.304","Aggregate","4406.25","4406.26","1","64","1","6972.233","no_nestloop","5447.6466666666665","1524.6573333333336"
"job_17b","default","5901.315","Aggregate","4406.25","4406.26","1","64","1","5901.241","no_nestloop","5447.6466666666665","453.66833333333307"
"job_1c","default","113.367","Aggregate","19463.99","19464","1","68","1","113.29","no_hashjoin","4.574666666666666","108.79233333333333"
"job_1c","default","116.817","Aggregate","19463.99","19464","1","68","1","116.767","no_hashjoin","4.574666666666666","112.24233333333332"
"job_1c","default","115.754","Aggregate","19463.99","19464","1","68","1","115.704","no_hashjoin","4.574666666666666","111.17933333333333"
"job_1c","no_mergejoin","117.201","Aggregate","19463.99","19464","1","68","1","117.132","no_hashjoin","4.574666666666666","112.62633333333332"
"job_1c","no_mergejoin","144.915","Aggregate","19463.99","19464","1","68","1","144.838","no_hashjoin","4.574666666666666","140.34033333333332"
"job_1c","no_mergejoin","115.303","Aggregate","19463.99","19464","1","68","1","115.224","no_hashjoin","4.574666666666666","110.72833333333332"
"job_1c","no_hashjoin","4.557","Aggregate","29874.12","29874.13","1","68","1","4.511","no_hashjoin","4.574666666666666","-0.017666666666666053"
"job_1c","no_hashjoin","4.63","Aggregate","29874.12","29874.13","1","68","1","4.586","no_hashjoin","4.574666666666666","0.055333333333333456"
"job_1c","no_hashjoin","4.537","Aggregate","29874.12","29874.13","1","68","1","4.492","no_hashjoin","4.574666666666666","-0.037666666666666515"
"job_1c","no_nestloop","430.609","Aggregate","101197.47","101197.48","1","68","1","426.091","no_hashjoin","4.574666666666666","426.03433333333334"
"job_1c","no_nestloop","442.44","Aggregate","101197.47","101197.48","1","68","1","438.419","no_hashjoin","4.574666666666666","437.86533333333335"
"job_1c","no_nestloop","482.71","Aggregate","101197.47","101197.48","1","68","1","477.666","no_hashjoin","4.574666666666666","478.13533333333334"
"job_7b","no_mergejoin","266.9","Aggregate","9079.94","9079.95","1","64","1","266.777","no_hashjoin","235.52566666666667","31.37433333333331"
"job_6a","no_mergejoin","19.387","Aggregate","3866.75","3866.76","1","96","1","19.322","no_hashjoin","18.094666666666665","1.2923333333333353"
"job_24a","no_mergejoin","237.961","Aggregate","6837.12","6837.13","1","96","1","237.823","no_mergejoin","227.63033333333337","10.330666666666644"
"job_24a","no_mergejoin","236.168","Aggregate","6837.12","6837.13","1","96","1","236.062","no_mergejoin","227.63033333333337","8.537666666666638"
"job_24a","no_mergejoin","208.762","Aggregate","6837.12","6837.13","1","96","1","208.648","no_mergejoin","227.63033333333337","-18.868333333333368"
"job_24a","no_nestloop","6667.979","Aggregate","1028786.04","1028786.05","1","96","1","6650.256","no_mergejoin","227.63033333333337","6440.348666666667"
"job_7b","no_mergejoin","266.85","Aggregate","9079.94","9079.95","1","64","1","266.747","no_hashjoin","235.52566666666667","31.324333333333357"
"job_24a","no_nestloop","7255.547","Aggregate","1028786.04","1028786.05","1","96","1","7244.566","no_mergejoin","227.63033333333337","7027.916666666666"
